Date,Mkt-RF,SMB,HML,RMW,CMA,RF
201605,1.78,-0.7,-1.81,-1.03,-2.6,0.01
201606,-0.05,0.49,-1.49,1.2,1.92,0.02
201607,3.95,2.65,-1.1,1.33,-1.27,0.02
201608,0.5,1.71,3.33,-1.3,-0.38,0.02
201609,0.25,1.71,-1.5,-2.44,-0.03,0.02
201610,-2.02,-4,4.17,1.12,0.19,0.02
201611,4.86,6.87,8.32,0.01,3.63,0.01
201612,1.82,0.37,3.55,1.04,-0.26,0.03
201701,1.94,-1.28,-2.76,-0.13,-0.97,0.04
201702,3.57,-2.11,-1.78,0.72,-1.75,0.04
201703,0.17,0.76,-3.16,0.6,-0.98,0.03
201704,1.09,0.49,-1.87,1.94,-1.57,0.05
201705,1.06,-3.07,-3.77,1.17,-1.87,0.06
201706,0.78,2.48,1.35,-1.99,-0.06,0.06
201707,1.87,-1.58,-0.28,-0.69,-0.15,0.07
201708,0.16,-1.86,-2.24,0.32,-2.44,0.09
201709,2.51,4.82,3.03,-1.18,1.64,0.09
201710,2.25,-1.97,-0.06,1.05,-3.34,0.09
201711,3.12,-0.43,-0.05,3.16,0,0.08
201712,1.06,-1.02,0.14,0.62,1.65,0.09
201801,5.58,-3.15,-1.37,-0.49,-0.89,0.11
201802,-3.65,0.35,-1.19,0.46,-2.25,0.11
201803,-2.35,3.52,-0.11,-0.48,-0.01,0.12
201804,0.29,0.94,0.53,-2.08,1.18,0.14
201805,2.65,4.72,-3.16,-1.94,-1.39,0.14
201806,0.48,0.85,-2.39,0.73,0.33,0.14
201807,3.19,-1.92,0.4,1.6,0.56,0.16
201808,3.44,0.76,-4.11,-0.34,-2.65,0.16
